id,name,startDateTime,endDateTime,venue,city,lat,lng,classification
G5diZbYyyt8JS,Preseason: New York Knicks v. Minnesota Timberwolves,2025-08-16T00:48:22Z,2025-08-17T00:48:22Z,Madison Square Garden,New York,40.74970620,-73.99160060,Sports
vvG1GZbczWqYc0,The Rocky Horror Picture Show 50th Anniversary Spectacular,2025-08-16T00:48:22Z,2025-08-17T00:48:22Z,Town Hall,New York,40.75599205,-73.98447747,Film
Z1r9uZrrZbpZ1AvaA3p,Hamilton (NY),2025-08-16T00:48:23Z,2025-08-17T00:48:23Z,Richard Rodgers Theatre,New York,40.75920382,-73.98676323,Arts & Theatre
Z7r9jZ1A7_Svp,New York Knicks vs. Minnesota Timberwolves,2025-08-16T00:48:23Z,2025-08-17T00:48:23Z,Madison Square Garden,New York,40.750000000,-73.996696000,Sports
k7vGFbiRY-I7h,CoComelon: Sing-A-Long LIVE,2025-08-16T00:48:23Z,2025-08-17T00:48:23Z,United Palace,New York,40.84626724,-73.93835048,Music
Z1r9uZrrZbpZ1AvaAfY,Hamilton (NY),2025-08-16T00:48:23Z,2025-08-17T00:48:23Z,Richard Rodgers Theatre,New York,40.75920382,-73.98676323,Arts & Theatre
G5diZbYyyt8JS,Preseason: New York Knicks v. Minnesota Timberwolves,2025-08-16T00:48:45Z,2025-08-17T00:48:45Z,Madison Square Garden,New York,40.74970620,-73.99160060,Sports
vvG1GZbczWqYc0,The Rocky Horror Picture Show 50th Anniversary Spectacular,2025-08-16T00:48:45Z,2025-08-17T00:48:45Z,Town Hall,New York,40.75599205,-73.98447747,Film
Z1r9uZrrZbpZ1AvaA3p,Hamilton (NY),2025-08-16T00:48:45Z,2025-08-17T00:48:45Z,Richard Rodgers Theatre,New York,40.75920382,-73.98676323,Arts & Theatre
Z7r9jZ1A7_Svp,New York Knicks vs. Minnesota Timberwolves,2025-08-16T00:48:45Z,2025-08-17T00:48:45Z,Madison Square Garden,New York,40.750000000,-73.996696000,Sports
k7vGFbiRY-I7h,CoComelon: Sing-A-Long LIVE,2025-08-16T00:48:45Z,2025-08-17T00:48:45Z,United Palace,New York,40.84626724,-73.93835048,Music
Z1r9uZrrZbpZ1AvaAog,Hamilton (NY),2025-08-16T00:48:45Z,2025-08-17T00:48:45Z,Richard Rodgers Theatre,New York,40.75920382,-73.98676323,Arts & Theatre
G5diZbYyytOEv,Preseason: New York Knicks v. Washington Wizards,2025-08-16T00:48:45Z,2025-08-17T00:48:45Z,Madison Square Garden,New York,40.74970620,-73.99160060,Sports
Z7r9jZ1A7_0Pv,I Puritani w/ Metropolitan Opera,2025-08-16T00:48:46Z,2025-08-17T00:48:46Z,Metropolitan Opera House,New York,40.776100000,-73.984100000,Music
Z7r9jZ1A74Ee6,Hamilton,2025-08-16T00:48:46Z,2025-08-17T00:48:46Z,Richard Rodgers Theatre-NY,New York,40.759300000,-73.990196000,Arts & Theatre
Z7r9jZ1A7_Sv_,New York Knicks vs. Washington Wizards,2025-08-16T00:48:46Z,2025-08-17T00:48:46Z,Madison Square Garden,New York,40.750000000,-73.996696000,Sports
Z7r9jZ1A7_0Pe,I Puritani w/ Metropolitan Opera,2025-08-16T00:48:46Z,2025-08-17T00:48:46Z,Metropolitan Opera House,New York,40.776100000,-73.984100000,Music
Z7r9jZ1A74EvY,Hamilton,2025-08-16T00:48:46Z,2025-08-17T00:48:46Z,Richard Rodgers Theatre-NY,New York,40.759300000,-73.990196000,Arts & Theatre
G5diZbYyytOE6,Preseason: New York Knicks v. Charlotte Hornets,2025-08-16T00:48:46Z,2025-08-17T00:48:46Z,Madison Square Garden,New York,40.74970620,-73.99160060,Sports
Z7r9jZ1A7_0Pd,I Puritani w/ Metropolitan Opera,2025-08-16T00:48:47Z,2025-08-17T00:48:47Z,Metropolitan Opera House,New York,40.776100000,-73.984100000,Music
Z7r9jZ1A74EeF,Hamilton,2025-08-16T00:48:47Z,2025-08-17T00:48:47Z,Richard Rodgers Theatre-NY,New York,40.759300000,-73.990196000,Arts & Theatre
Z7r9jZ1A7_Svb,New York Knicks vs. Charlotte Hornets,2025-08-16T00:48:47Z,2025-08-17T00:48:47Z,Madison Square Garden,New York,40.750000000,-73.996696000,Sports
Z7r9jZ1A7_0P7,I Puritani w/ Metropolitan Opera,2025-08-16T00:48:47Z,2025-08-17T00:48:47Z,Metropolitan Opera House,New York,40.776100000,-73.984100000,Music
Z7r9jZ1A74EvY,Hamilton,2025-08-16T00:48:47Z,2025-08-17T00:48:47Z,Richard Rodgers Theatre-NY,New York,40.759300000,-73.990196000,Arts & Theatre
G5diZbYyytOE4,New York Knicks vs. Cleveland Cavaliers,2025-08-16T00:48:47Z,2025-08-17T00:48:47Z,Madison Square Garden,New York,40.74970620,-73.99160060,Sports
Z7r9jZ1A7_0PA,I Puritani w/ Metropolitan Opera,2025-08-16T00:48:47Z,2025-08-17T00:48:47Z,Metropolitan Opera House,New York,40.776100000,-73.984100000,Music
Z7r9jZ1A7os46,Harry Potter and the Cursed Child,2025-08-16T00:48:48Z,2025-08-17T00:48:48Z,Lyric Theatre - NY,New York,40.759300000,-73.990196000,Arts & Theatre
Z7r9jZ1A7_Sv9,New York Knicks vs. Cleveland Cavaliers,2025-08-16T00:48:48Z,2025-08-17T00:48:48Z,Madison Square Garden,New York,40.750000000,-73.996696000,Sports
Z7r9jZ1A7_0Pk,I Puritani w/ Metropolitan Opera,2025-08-16T00:48:48Z,2025-08-17T00:48:48Z,Metropolitan Opera House,New York,40.776100000,-73.984100000,Music
Z7r9jZ1A7os48,Harry Potter and the Cursed Child,2025-08-16T00:48:48Z,2025-08-17T00:48:48Z,Lyric Theatre - NY,New York,40.759300000,-73.990196000,Arts & Theatre
G5diZbYyytYEr,New York Knicks vs. Boston Celtics,2025-08-16T00:48:48Z,2025-08-17T00:48:48Z,Madison Square Garden,New York,40.74970620,-73.99160060,Sports
Z7r9jZ1A7_YJe,Leonidas Kavakos w/ Gil Shaham,2025-08-16T00:48:48Z,2025-08-17T00:48:48Z,Stern Auditorium / Perelman Stage at Carnegie Hall,New York,40.765202000,-73.985298000,Music
Z7r9jZ1A7os4F,Harry Potter and the Cursed Child,2025-08-16T00:48:48Z,2025-08-17T00:48:48Z,Lyric Theatre - NY,New York,40.759300000,-73.990196000,Arts & Theatre
Z7r9jZ1A7_SOZ,New York Knicks vs. Boston Celtics,2025-08-16T00:48:49Z,2025-08-17T00:48:49Z,Madison Square Garden,New York,40.750000000,-73.996696000,Sports
G5diZb3RnQx7F,Dua Lipa - Radical Optimism Tour,2025-08-16T00:48:49Z,2025-08-17T00:48:49Z,Madison Square Garden,New York,40.74970620,-73.99160060,Music
Z7r9jZ1A7os4a,Harry Potter and the Cursed Child,2025-08-16T00:48:49Z,2025-08-17T00:48:49Z,Lyric Theatre - NY,New York,40.759300000,-73.990196000,Arts & Theatre
